timer,temp,vibX,vibY,vibZ,magnitude,rms,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:42:33,30.29,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:42:39,30.25,-9.728,-3.687,-1.53,10.515,6.071,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:42:44,30.19,-9.728,-3.609,-1.451,10.477,6.049,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:42:50,30.57,-9.728,-3.648,-1.53,10.502,6.063,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:42:55,30.45,-9.728,-3.609,-1.53,10.488,6.055,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:43:05,30.39,-9.767,-3.648,-1.53,10.538,6.084,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:43:11,30.25,-9.767,-3.609,-1.569,10.53,6.08,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:43:17,29.83,-9.689,-3.648,-1.451,10.454,6.036,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:43:23,30.03,-9.728,-3.609,-1.53,10.488,6.055,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:43:28,30.57,-9.65,-3.648,-1.491,10.423,6.018,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:43:35,31.07,-9.767,-3.648,-1.569,10.544,6.088,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:43:38,30.53,-9.728,-3.609,-1.569,10.494,6.059,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:43:43,30.65,-9.689,-3.687,-1.569,10.485,6.053,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:43:49,30.97,-9.767,-3.648,-1.451,10.527,6.078,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:43:56,30.91,-9.689,-3.609,-1.53,10.452,6.034,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:44:02,30.85,-9.65,-3.648,-1.53,10.429,c,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:44:09,31.07,-9.689,-3.648,-1.53,10.465,6.042,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:44:14,30.87,-9.689,-3.609,-1.569,10.458,6.038,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:44:18,30.79,-9.728,-3.687,-1.53,10.515,6.071,,,,,,,,,,,,,,,,,,,,,
