Row Labels,Sum of Total Sales
Baking Goods,81894.74
Breads,35379.12
Breakfast,15596.70
Canned,90706.73
Dairy,101276.46
Frozen Foods,118558.88
Fruits and Vegetables,178124.08
Hard Drinks,29334.68
Health and Hygiene,68025.84
Household,135976.53
Meat,59449.86
Others,22451.89
Seafood,9077.87
Snack Foods,175433.92
Soft Drinks,58514.17
Starchy Foods,21880.03
Grand Total,1201681.48
,
Row Labels,Count of Total Sales
Baking Goods,648
Breads,251
Breakfast,110
Canned,649
Dairy,682
Frozen Foods,856
Fruits and Vegetables,1232
Hard Drinks,214
Health and Hygiene,520
Household,910
Meat,425
Others,169
Seafood,64
Snack Foods,1200
Soft Drinks,445
Starchy Foods,148
Grand Total,8523
,
Row Labels,Average of Rating
Baking Goods,3.98
Breads,3.88
Breakfast,3.93
Canned,3.99
Dairy,3.97
Frozen Foods,3.97
Fruits and Vegetables,3.96
Hard Drinks,3.91
Health and Hygiene,3.99
Household,4.00
Meat,4.02
Others,3.95
Seafood,3.96
Snack Foods,3.95
Soft Drinks,3.92
Starchy Foods,3.92
Grand Total,3.97
