timer,temp,vibX,vibY,vibZ,magnitude,rms,,,,,,,,,,,,,,,,,,,,,
16:06:05,31.83,-9.65,-3.57,-1.69,10.43,6.02,,,,,,,,,,,,,,,,,,,,,
16:06:10,31.83,-9.73,-3.69,-1.61,10.53,6.08,,,,,,,,,,,,,,,,,,,,,
16:06:13,31.89,-9.69,-3.61,-1.69,10.48,6.05,,,,,,,,,,,,,,,,,,,,,
16:06:19,31.89,-9.73,-3.61,-1.65,10.51,6.07,,,,,,,,,,,,,,,,,,,,,
16:06:25,31.81,-9.65,-3.69,-1.65,10.46,6.04,,,,,,,,,,,,,,,,,,,,,
16:06:30,31.89,-9.69,-3.65,-1.65,10.48,6.05,,,,,,,,,,,,,,,,,,,,,
16:06:36,31.83,-9.69,-3.65,-1.57,10.47,6.05,,,,,,,,,,,,,,,,,,,,,
16:06:42,31.89,-9.61,-3.65,-1.69,10.42,6.01,,,,,,,,,,,,,,,,,,,,,
16:06:47,31.83,-9.61,-3.65,-1.65,10.41,6.01,,,,,,,,,,,,,,,,,,,,,
16:06:52,31.77,-9.65,-3.65,-1.61,10.44,6.03,,,,,,,,,,,,,,,,,,,,,
16:06:58,31.81,-9.96,-3.69,-1.65,10.75,6.21,,,,,,,,,,,,,,,,,,,,,
16:07:04,31.81,-9.61,-3.33,-1.69,10.31,5.95,,,,,,,,,,,,,,,,,,,,,
16:07:10,31.81,-9.85,-3.45,-1.73,10.58,6.11,,,,,,,,,,,,,,,,,,,,,
16:07:14,31.85,-9.73,-3.77,-1.49,10.54,6.08,,,,,,,,,,,,,,,,,,,,,
16:07:20,31.91,-9.89,-3.57,-1.49,10.62,6.13,,,,,,,,,,,,,,,,,,,,,
16:07:26,31.85,-9.65,-3.49,-1.92,10.44,6.03,,,,,,,,,,,,,,,,,,,,,
16:07:31,31.91,-9.10,-3.57,-1.57,9.90,5.72,,,,,,,,,,,,,,,,,,,,,
16:07:36,31.91,-8.98,-3.65,-1.61,9.83,5.67,,,,,,,,,,,,,,,,,,,,,
16:07:42,31.95,-9.73,-3.41,-1.69,10.45,6.03,,,,,,,,,,,,,,,,,,,,,
16:07:53,32.31,-9.77,-3.69,-1.49,10.55,6.09,,,,,,,,,,,,,,,,,,,,,
16:17:31,31.91,-9.65,-3.65,-1.65,10.45,6.03,,,,,,,,,,,,,,,,,,,,,
16:17:37,31.91,-9.69,-3.65,-1.65,10.48,6.05,,,,,,,,,,,,,,,,,,,,,
16:17:43,31.97,-9.69,-3.65,-1.61,10.48,6.05,,,,,,,,,,,,,,,,,,,,,
16:17:48,31.91,-9.69,-3.61,-1.69,10.48,6.05,,,,,,,,,,,,,,,,,,,,,
16:17:54,31.81,-9.69,-3.65,-1.69,10.49,6.06,,,,,,,,,,,,,,,,,,,,,
16:18:00,31.85,-9.61,-3.69,-1.61,10.42,6.02,,,,,,,,,,,,,,,,,,,,,
16:18:05,31.91,-9.65,-3.65,-1.61,10.44,6.03,,,,,,,,,,,,,,,,,,,,,
16:18:11,31.89,-9.73,-3.53,-1.80,10.51,6.07,,,,,,,,,,,,,,,,,,,,,
16:18:18,31.91,-9.65,-3.65,-1.57,10.44,6.03,,,,,,,,,,,,,,,,,,,,,
16:18:24,31.89,-9.69,-3.65,-1.73,10.50,6.06,,,,,,,,,,,,,,,,,,,,,
16:18:29,31.85,-9.85,-3.65,-1.69,10.64,6.14,,,,,,,,,,,,,,,,,,,,,
16:18:35,31.91,-9.77,-3.65,-1.65,10.56,6.09,,,,,,,,,,,,,,,,,,,,,
16:18:40,31.91,-9.77,-3.65,-1.61,10.55,6.09,,,,,,,,,,,,,,,,,,,,,
16:18:44,31.89,-9.26,-3.57,-1.69,10.06,5.81,,,,,,,,,,,,,,,,,,,,,
16:18:50,31.85,-10.36,-3.69,-1.65,11.12,6.42,,,,,,,,,,,,,,,,,,,,,
16:18:55,31.85,-9.73,-3.73,-1.49,10.52,6.08,,,,,,,,,,,,,,,,,,,,,
16:19:00,31.91,-9.53,-3.73,-1.73,10.38,5.99,,,,,,,,,,,,,,,,,,,,,
16:19:07,31.89,-9.61,-3.73,-1.69,10.45,6.03,,,,,,,,,,,,,,,,,,,,,
16:19:12,31.81,-9.30,-3.49,-1.61,10.06,5.81,,,,,,,,,,,,,,,,,,,,,
16:19:17,31.91,-9.69,-3.73,-1.73,10.52,6.08,,,,,,,,,,,,,,,,,,,,,
16:19:22,31.89,-9.92,-3.73,-1.61,10.72,6.19,,,,,,,,,,,,,,,,,,,,,
16:19:27,31.95,-9.81,-3.57,-1.57,10.55,6.09,,,,,,,,,,,,,,,,,,,,,
16:19:33,31.97,-9.85,-3.61,-1.69,10.62,6.13,,,,,,,,,,,,,,,,,,,,,
16:19:38,31.83,-9.57,-3.37,-1.80,10.31,5.95,,,,,,,,,,,,,,,,,,,,,
16:19:44,31.91,-9.61,-3.73,-1.61,10.43,6.02,,,,,,,,,,,,,,,,,,,,,
16:19:57,33.57,-9.85,-3.92,-1.53,10.71,6.18,,,,,,,,,,,,,,,,,,,,,
16:20:03,33.99,-9.65,-3.69,-1.73,10.47,6.05,,,,,,,,,,,,,,,,,,,,,
16:20:08,33.43,-9.92,-3.73,-1.61,10.72,6.19,,,,,,,,,,,,,,,,,,,,,
16:20:13,34.61,-9.89,-3.45,-1.73,10.61,6.13,,,,,,,,,,,,,,,,,,,,,
16:20:20,39.19,-9.45,-3.26,-1.80,10.16,5.87,,,,,,,,,,,,,,,,,,,,,
16:20:27,39.71,-9.22,-4.71,-1.18,10.42,6.01,,,,,,,,,,,,,,,,,,,,,
16:20:32,40.57,-10.24,-3.02,-1.57,10.79,6.23,,,,,,,,,,,,,,,,,,,,,
16:20:52,31.89,-9.65,-3.88,-1.65,10.53,6.08,,,,,,,,,,,,,,,,,,,,,
16:20:55,32.03,-9.61,-3.77,-1.57,10.44,6.03,,,,,,,,,,,,,,,,,,,,,
16:21:00,31.95,-8.90,-3.65,-1.61,9.76,5.63,,,,,,,,,,,,,,,,,,,,,
16:21:06,31.91,-9.30,-4.04,-1.41,10.24,5.91,,,,,,,,,,,,,,,,,,,,,
16:21:12,31.91,-9.45,-3.30,-1.57,10.13,5.85,,,,,,,,,,,,,,,,,,,,,
16:21:18,31.95,-9.69,-3.33,-1.77,10.40,6.00,,,,,,,,,,,,,,,,,,,,,
16:21:23,31.91,-9.92,-3.61,-1.61,10.68,6.17,,,,,,,,,,,,,,,,,,,,,
16:21:29,31.97,-9.06,-3.10,-1.53,9.70,5.60,,,,,,,,,,,,,,,,,,,,,
16:21:36,31.95,-9.73,-4.04,-1.49,10.64,6.14,,,,,,,,,,,,,,,,,,,,,
16:21:41,31.91,-9.69,-4.43,-1.29,10.73,6.20,,,,,,,,,,,,,,,,,,,,,
16:21:48,31.91,-9.57,-3.69,-1.69,10.40,6.00,,,,,,,,,,,,,,,,,,,,,
16:21:53,31.85,-9.69,-3.69,-1.69,10.50,6.06,,,,,,,,,,,,,,,,,,,,,
16:21:59,31.85,-9.69,-3.61,-1.65,10.47,6.05,,,,,,,,,,,,,,,,,,,,,
16:22:04,31.71,-9.69,-3.65,-1.57,10.47,6.05,,,,,,,,,,,,,,,,,,,,,
16:22:10,31.75,-9.69,-3.65,-1.65,10.48,6.05,,,,,,,,,,,,,,,,,,,,,
16:22:17,31.69,-9.69,-3.61,-1.77,10.49,6.06,,,,,,,,,,,,,,,,,,,,,
16:22:22,31.67,-9.73,-3.69,-1.69,10.54,6.09,,,,,,,,,,,,,,,,,,,,,
16:22:28,31.69,-9.65,-3.73,-1.69,10.48,6.05,,,,,,,,,,,,,,,,,,,,,
16:22:33,31.71,-9.65,-3.69,-1.65,10.46,6.04,,,,,,,,,,,,,,,,,,,,,
16:22:39,31.63,-9.77,-3.65,-1.57,10.54,6.09,,,,,,,,,,,,,,,,,,,,,
16:22:44,31.67,-9.65,-3.65,-1.61,10.44,6.03,,,,,,,,,,,,,,,,,,,,,
16:22:49,31.81,-9.73,-3.69,-1.57,10.52,6.07,,,,,,,,,,,,,,,,,,,,,
16:22:54,31.71,-9.69,-3.69,-1.69,10.50,6.06,,,,,,,,,,,,,,,,,,,,,
16:22:59,31.77,-9.69,-3.65,-1.69,10.49,6.06,,,,,,,,,,,,,,,,,,,,,
16:23:05,31.71,-9.73,-3.69,-1.69,10.54,6.09,,,,,,,,,,,,,,,,,,,,,
16:23:10,31.71,-9.73,-3.65,-1.77,10.54,6.08,,,,,,,,,,,,,,,,,,,,,
16:23:16,31.77,-9.77,-3.65,-1.69,10.56,6.10,,,,,,,,,,,,,,,,,,,,,
16:23:22,31.77,-9.73,-3.65,-1.65,10.52,6.07,,,,,,,,,,,,,,,,,,,,,
